Fortaleza,Athletico-PR,2.04,3.38,3.85
Coritiba,Internacional,3.85,3.13,2.14
Sport,Ceará,2.94,3.02,2.67
Flamengo,Atlético-MG,1.46,4.84,6.35
Santos,Red Bull Bragantino,2.17,3.31,3.53
Grêmio,Fluminense,1.6,3.78,6.36
Athletico-PR,Goiás,1.27,5.78,11.24
Atlético-MG,Corinthians,2.04,3.26,4.03
Red Bull Bragantino,Botafogo,1.62,3.98,5.59
Atlético-GO,Flamengo,7.61,4.4,1.45
Bahia,Coritiba,2.12,2.97,4.21
Ceará,Grêmio,2.68,2.97,2.98
Fluminense,Palmeiras,4.6,3.3,1.91
São Paulo,Fortaleza,1.59,3.76,6.56
Internacional,Santos,1.9,3.2,4.9
Vasco,Sport,2.14,3.04,4.01
Grêmio,Corinthians,1.75,3.3,5.74
Coritiba,Flamengo,5.3,3.69,1.7
Palmeiras,Goiás,1.18,7.15,16.75
Atlético-MG,Ceará,1.57,3.95,6.33
Bahia,Red Bull Bragantino,2.88,3.18,2.6
Vasco,São Paulo,3.09,3.21,2.43
Fluminense,Internacional,3.62,3.05,2.26
Atlético-GO,Sport,2.03,3.18,4.21
Fortaleza,Botafogo,2.04,3.18,4.15
Santos,Athletico-PR,2.45,3.19,3.08
Red Bull Bragantino,Fluminense,2.11,3.2,3.85
Flamengo,Grêmio,2.08,3.16,4.02
Athletico-PR,Palmeiras,3.49,3.07,2.31
Goiás,Fortaleza,2.78,2.98,2.86
Internacional,Atlético-GO,1.79,3.38,5.22
Botafogo,Atlético-MG,4.49,3.52,1.85
Corinthians,Coritiba,1.87,3.17,5.12
Sport,Santos,2.48,3.26,2.98
Ceará,Vasco,2.07,3.15,4.08
São Paulo,Bahia,1.74,3.58,5.22
Athletico-PR,Fluminense,1.93,3.3,4.54
Internacional,Atlético-MG,2.25,3.32,3.32
Goiás,Atlético-GO,2.96,3.05,2.63
Flamengo,Botafogo,1.36,4.86,9.27
Red Bull Bragantino,Coritiba,1.59,3.88,6.16
Palmeiras,Santos,2.01,3.13,4.41
Vasco,Grêmio,3.97,3.2,2.08
Sport,São Paulo,3.4,3.13,2.32
Ceará,Bahia,2.13,3.19,3.8
São Paulo,Athletico-PR,1.98,3.2,4.29
Corinthians,Fortaleza,1.94,3.25,4.39
Botafogo,Internacional,4.67,3.46,1.82
Bahia,Palmeiras,4.2,2.99,2.09
Fluminense,Vasco,2.2,3.14,3.59
Fortaleza,Red Bull Bragantino,2.29,3.28,3.22
São Paulo,Corinthians,2.31,3.01,3.47
Coritiba,Sport,2.42,2.99,3.29
Santos,Flamengo,3.53,3.51,2.07
Atlético-GO,Ceará,2.5,3.12,3.03
Ceará,Fortaleza,2.65,2.93,3.06
Fluminense,Atlético-GO,1.74,3.48,5.38
Goiás,Corinthians,3.42,3.1,2.32
Athletico-PR,Red Bull Bragantino,2.38,3.32,3.08
Bahia,Flamengo,3.35,3.15,2.32
Botafogo,Coritiba,2.15,3.23,3.68
Palmeiras,Internacional,1.96,3.08,4.75
Santos,Vasco,1.69,3.88,5.06
Grêmio,Sport,1.36,4.85,9.14
Atlético-MG,São Paulo,2.03,3.27,4.07
Flamengo,Fortaleza,1.45,4.46,7.41
Corinthians,Botafogo,1.79,3.46,5.04
Ceará,Santos,2.07,3.24,3.92
Red Bull Bragantino,Palmeiras,3.29,3.14,2.36
Internacional,Bahia,1.58,3.86,6.4
São Paulo,Fluminense,1.91,3.24,4.7
Vasco,Athletico-PR,2.35,3.11,3.34
Atlético-GO,Grêmio,5,3.32,1.83
Coritiba,Atlético-MG,4.95,3.8,1.71
Sport,Goiás,1.98,3.15,4.5
Athletico-PR,Botafogo,1.75,3.54,5.26
Fortaleza,Sport,1.97,3.35,4.26
Goiás,Coritiba,2.62,3.06,3.04
São Paulo,Red Bull Bragantino,2.07,3.4,3.8
Fluminense,Flamengo,5.54,3.83,1.66
Santos,Atlético-MG,4.41,3.99,1.77
Bahia,Grêmio,3.81,3.24,2.14
Corinthians,Palmeiras,3.88,2.96,2.25
Internacional,Ceará,1.7,3.46,5.96
Vasco,Atlético-GO,2.2,3.18,3.71
Athletico-PR,Coritiba,2.01,3.14,4.58
Santos,São Paulo,3.38,3.35,2.27
Fluminense,Corinthians,2.36,3.08,3.52
Grêmio,Fortaleza,1.61,3.85,6.42
Atlético-MG,Red Bull Bragantino,1.67,3.94,5.45
Bahia,Atlético-GO,2.16,3.18,3.88
Ceará,Flamengo,3.82,3.4,2.09
Goiás,Internacional,4.44,3.43,1.93
Palmeiras,Sport,1.46,4.28,8.35
Botafogo,Vasco,2.64,3.04,3.07
Corinthians,Bahia,2.22,3.28,3.6
Red Bull Bragantino,Ceará,2.05,3.38,3.8
Fortaleza,Internacional,3.01,2.88,2.83
Atlético-GO,Atlético-MG,4.69,3.46,1.84
Coritiba,Vasco,2.17,3.26,3.77
Grêmio,Palmeiras,2.5,2.97,3.38
Botafogo,Santos,2.73,3.4,2.68
Sport,Fluminense,2.45,3.07,3.34
Sport,Corinthians,2.82,3,2.9
Athletico-PR,Bahia,2.26,3.09,3.75
Internacional,São Paulo,2.42,3.02,3.46
Atlético-MG,Grêmio,1.74,3.78,5.07
Vasco,Red Bull Bragantino,3.32,3.46,2.26
Palmeiras,Flamengo,1.31,5.6,10.54
Atlético-GO,Botafogo,2.01,3.39,4.14
Ceará,Goiás,1.61,4.09,5.82
Santos,Fortaleza,2.08,3.43,3.82
Fluminense,Coritiba,1.99,3.26,4.42
Botafogo,Bahia,2.65,3.32,2.82
Corinthians,Atlético-GO,2.37,3.08,3.49
Grêmio,Internacional,2.39,2.88,3.72
Palmeiras,Ceará,1.44,4.54,8.22
Red Bull Bragantino,Corinthians,2.21,3.34,3.55
Botafogo,Fluminense,2.94,3.04,2.75
Coritiba,São Paulo,4.96,3.63,1.79
Flamengo,Athletico-PR,1.51,4.34,6.92
Bahia,Sport,1.88,3.45,4.69
Fortaleza,Atlético-GO,2.4,3.04,3.48
Goiás,Santos,2.86,3.42,2.55
Atlético-MG,Vasco,1.36,5.14,9.24
Corinthians,Santos,2.28,3.25,3.49
Bahia,Vasco,1.84,3.49,4.85
Flamengo,Sport,1.4,4.96,8.18
Grêmio,Coritiba,1.53,3.95,7.53
Goiás,Fluminense,3.57,3.38,2.18
São Paulo,Atlético-GO,1.66,3.93,5.56
Botafogo,Palmeiras,4.12,3.24,2.07
Fortaleza,Atlético-MG,4.09,3.6,1.95
Athletico-PR,Ceará,2.1,3.27,3.97
Red Bull Bragantino,Internacional,2.93,3.06,2.74
Vasco,Flamengo,5.38,3.91,1.68
Coritiba,Fortaleza,2.82,2.97,2.93
Palmeiras,São Paulo,2.57,3.03,3.18
Atlético-MG,Goiás,1.26,6.5,10.68
Fluminense,Bahia,2.49,3.26,3.09
Santos,Grêmio,3.42,3.03,2.43
Atlético-GO,Red Bull Bragantino,2.53,3.04,3.23
Sport,Botafogo,2.58,3.12,3.08
Ceará,Corinthians,2.18,3.26,3.72
Internacional,Athletico-PR,1.8,3.35,5.45
Flamengo,Goiás,1.22,6.88,12.35
Palmeiras,Coritiba,1.51,4.08,7.65
Grêmio,Botafogo,1.47,4.49,7.35
Santos,Atlético-GO,2.22,3.41,3.45
Athletico-PR,Corinthians,2.29,3.1,3.65
Atlético-MG,Fluminense,1.45,4.61,7.49
Sport,Internacional,4.5,3.12,2.03
Flamengo,Red Bull Bragantino,1.57,4.45,5.63
Goiás,Bahia,4.1,3.38,2.02
Atlético-GO,Athletico-PR,2.5,3.04,3.29
Coritiba,Santos,3.04,3.25,2.53
Fluminense,Ceará,2.03,3.36,4.09
São Paulo,Grêmio,2.19,3.01,4.09
Corinthians,Flamengo,4.22,3.86,1.85
Internacional,Vasco,1.51,4.39,6.73
Red Bull Bragantino,Sport,1.71,3.82,5.24
Fortaleza,Palmeiras,3.4,3,2.47
Bahia,Atlético-MG,5,3.94,1.71
Botafogo,Goiás,1.55,4.23,6.39
Vasco,Corinthians,2.85,2.84,3.03
Red Bull Bragantino,Goiás,1.42,4.84,7.86
Ceará,Coritiba,1.95,3.38,4.41
Atlético-MG,Sport,1.29,5.7,10.59
Atlético-GO,Palmeiras,3.75,3.18,2.21
Fluminense,Santos,2.48,3.09,3.27
Athletico-PR,Grêmio,2.31,3.04,3.69
Internacional,Flamengo,2.98,3.12,2.65
Botafogo,Ceará,2.37,3.28,3.15
Corinthians,Internacional,3.42,3.12,2.38
Coritiba,Atlético-GO,2.49,3.09,3.25
Fortaleza,Fluminense,2.3,3.09,3.64
Flamengo,São Paulo,1.86,3.68,4.42
Sport,Athletico-PR,3.1,3.1,2.58
Santos,Bahia,2.12,3.52,3.59
Goiás,Vasco,2.96,3.18,2.63
Palmeiras,Atlético-MG,2.45,3.38,3.05
Grêmio,Red Bull Bragantino,1.99,3.42,4.17
Athletico-PR,Fortaleza,2.2,2.99,4.07
São Paulo,Goiás,1.32,5.68,9.7
Atlético-GO,Corinthians,2.43,3.17,3.26
Internacional,Coritiba,1.78,3.3,5.88
Vasco,Palmeiras,4.47,3.24,1.99
Atlético-MG,Flamengo,2.39,3.7,2.9
Bahia,Botafogo,2.15,3.4,3.65
Red Bull Bragantino,Santos,2.25,3.38,3.41
Ceará,Sport,1.84,3.58,4.71
Fluminense,Grêmio,2.81,2.88,3.03
Bahia,Fortaleza,2.43,2.95,3.53
Santos,Internacional,3.66,3.29,2.19
Sport,Vasco,2.71,3.07,2.96
Goiás,Athletico-PR,4.52,3.64,1.85
Corinthians,Atlético-MG,3.89,3.77,1.95
Fortaleza,São Paulo,3.06,3.2,2.54
Grêmio,Ceará,1.75,3.62,5.26
Flamengo,Atlético-GO,1.48,4.52,7
Palmeiras,Fluminense,2.01,3.35,4.16
Coritiba,Bahia,2.89,3.08,2.77
Botafogo,Red Bull Bragantino,2.68,3.11,2.96
Atlético-MG,Athletico-PR,1.76,3.82,4.85
Vasco,Fortaleza,2.34,3.19,3.42
Red Bull Bragantino,Bahia,2.24,3.35,3.47
Athletico-PR,Santos,1.54,4.13,6.23
Flamengo,Coritiba,1.35,5.23,9.19
Goiás,Palmeiras,4.74,3.58,1.83
Ceará,Atlético-MG,2.87,3.48,2.52
São Paulo,Vasco,1.4,4.86,8.49
Botafogo,Fortaleza,2.21,3.15,3.79
Internacional,Fluminense,2.07,3.09,4.38
Corinthians,Grêmio,3.66,3.04,2.32
Sport,Atlético-GO,3.17,3.03,2.58
Ceará,São Paulo,3.18,3.32,2.4
Atlético-MG,Botafogo,1.67,4.04,5.27
Coritiba,Corinthians,3.19,2.89,2.67
Fortaleza,Goiás,1.66,3.91,5.63
Palmeiras,Athletico-PR,1.73,3.62,5.51
Santos,Sport,1.71,3.66,5.63
Bahia,São Paulo,3.66,3.38,2.15
Atlético-GO,Internacional,3.17,3.16,2.5
Grêmio,Goiás,1.31,5.59,10.57
Vasco,Ceará,3.14,3.05,2.58
Fluminense,Red Bull Bragantino,3.62,3.39,2.16
Fortaleza,Corinthians,2.48,2.98,3.4
Goiás,São Paulo,9.32,5.11,1.36
Botafogo,Flamengo,6.21,4.46,1.53
Santos,Palmeiras,3.14,3.21,2.48
Bahia,Ceará,2.73,3.18,2.84
Fluminense,Athletico-PR,2.4,3.14,3.35
Coritiba,Red Bull Bragantino,3.59,3.29,2.21
Grêmio,Vasco,1.51,4.15,7.45
São Paulo,Sport,1.35,5.14,9.8
Atlético-MG,Internacional,1.78,3.64,4.97
Atlético-GO,Goiás,1.64,3.95,5.78
São Paulo,Botafogo,1.49,4.3,7.44
Athletico-PR,Atlético-MG,3.97,3.69,1.95
Red Bull Bragantino,Fortaleza,1.82,3.51,4.96
Internacional,Botafogo,1.63,3.7,6.43
Palmeiras,Bahia,1.61,3.84,6.41
Ceará,Atlético-GO,1.95,3.38,4.41
Goiás,Grêmio,5.89,3.91,1.64
Flamengo,Santos,1.31,5.69,9.9
Corinthians,São Paulo,4.5,3.34,1.95
Sport,Coritiba,2.53,2.94,3.36
Vasco,Fluminense,3.18,3.01,2.59
Atlético-GO,Fluminense,2.6,3.06,3.11
São Paulo,Atlético-MG,2.4,3.38,3.12
Sport,Grêmio,4.66,3.55,1.85
Coritiba,Botafogo,2.73,3.06,2.94
Internacional,Palmeiras,2.9,2.86,2.96
Red Bull Bragantino,Athletico-PR,1.89,3.53,4.47
Vasco,Santos,2.73,3.12,2.89
Flamengo,Bahia,1.31,5.92,9.46
Fortaleza,Ceará,2.95,3.02,2.75
Corinthians,Goiás,1.41,4.69,8.51
Atlético-MG,Coritiba,1.33,5.78,8.68
Fortaleza,Flamengo,5.02,3.84,1.74
Goiás,Sport,2.65,3.3,2.84
Fluminense,São Paulo,4.54,3.42,1.91
Bahia,Internacional,2.7,3.06,2.98
Botafogo,Corinthians,3.03,3.2,2.56
Athletico-PR,Vasco,1.93,3.36,4.53
Palmeiras,Red Bull Bragantino,1.88,3.5,4.53
Santos,Ceará,2.07,3.45,3.84
Grêmio,Atlético-GO,2.06,3.17,4.3
Botafogo,Athletico-PR,2.59,3.23,2.97
Grêmio,Bahia,1.46,4.51,7.61
Coritiba,Goiás,2.19,3.35,3.58
Sport,Fortaleza,3.26,2.91,2.61
Red Bull Bragantino,São Paulo,2.93,3.2,2.63
Flamengo,Fluminense,1.47,4.53,7.39
Ceará,Internacional,2.93,3.04,2.75
Atlético-GO,Vasco,2.17,3.08,4.04
Coritiba,Athletico-PR,3.42,3.1,2.39
Sport,Palmeiras,4.08,3.3,2.06
Fortaleza,Grêmio,3.51,3.02,2.4
Flamengo,Ceará,1.39,5.29,7.75
São Paulo,Santos,1.48,4.3,7.72
Atlético-GO,Bahia,2.4,3.11,3.39
Internacional,Goiás,1.48,4.3,7.72
Vasco,Botafogo,2.25,3.18,3.63
Red Bull Bragantino,Atlético-MG,3.24,3.53,2.26
Corinthians,Fluminense,2.11,3.15,4.12
Palmeiras,Grêmio,2.72,3.09,2.93
Fluminense,Sport,2.11,3.14,4.14
Vasco,Coritiba,1.74,3.5,5.69
Athletico-PR,São Paulo,3.72,3.18,2.22
Santos,Botafogo,1.88,3.57,4.42
Atlético-MG,Atlético-GO,1.43,4.69,7.91
Ceará,Red Bull Bragantino,2.86,3.17,2.72
Internacional,Fortaleza,1.96,3.16,4.78
Palmeiras,Corinthians,2.15,3.21,3.89
Goiás,Flamengo,7.6,5.29,1.39
Botafogo,Atlético-GO,2.37,3.2,3.34
Bahia,Athletico-PR,2.02,3.29,4.22
Grêmio,Atlético-MG,2.52,3.33,2.98
Coritiba,Fluminense,3.21,3.18,2.46
Red Bull Bragantino,Vasco,1.68,3.78,5.63
São Paulo,Internacional,2.04,3.29,4.15
Flamengo,Palmeiras,2.05,3.71,3.61
Fortaleza,Santos,1.94,3.29,4.62
Goiás,Ceará,3.54,3.36,2.2
Corinthians,Sport,1.65,3.79,5.97
São Paulo,Coritiba,1.35,5.28,9.11
Vasco,Atlético-MG,4.64,3.85,1.78
Athletico-PR,Flamengo,5.27,3.98,1.68
Ceará,Palmeiras,2.38,3.21,3.31
Internacional,Grêmio,2.89,2.92,2.89
Atlético-GO,Fortaleza,2.41,3.03,3.48
Santos,Goiás,1.36,5.28,8.9
Sport,Bahia,3.05,3.19,2.55
Fluminense,Botafogo,2.23,3.31,3.52
Corinthians,Red Bull Bragantino,2.6,3.45,2.79
Atlético-MG,Santos,1.21,6.78,15.14
Palmeiras,Vasco,2.08,3.32,3.95
Bahia,Corinthians,2.31,3.4,3.27
Grêmio,Flamengo,3.21,3.52,2.28
Palmeiras,Botafogo,1.5,4.54,6.59
Grêmio,Santos,1.7,3.83,5.34
Red Bull Bragantino,Atlético-GO,1.6,4.19,5.81
Bahia,Fluminense,2.8,3.26,2.7
Corinthians,Ceará,2.04,3.4,4.01
Goiás,Atlético-MG,7.36,5.07,1.42
Fortaleza,Coritiba,1.6,3.88,6.53
Athletico-PR,Internacional,3.25,3.07,2.5
Flamengo,Vasco,1.3,5.98,10.05
Botafogo,Sport,2.83,3.23,2.7
Bahia,Goiás,1.63,4.09,5.55
Atlético-GO,Santos,2.48,3.32,3.04
Red Bull Bragantino,Flamengo,3.23,3.75,2.18
Botafogo,Grêmio,7.13,4.57,1.47
Internacional,Sport,1.51,4,7.99
Fortaleza,Vasco,2.06,3.01,4.59
São Paulo,Ceará,1.72,3.77,5.23
Corinthians,Athletico-PR,2.02,3.4,4.1
Fluminense,Atlético-MG,3.64,3.33,2.18
Goiás,Botafogo,1.82,3.92,4.31
Atlético-MG,Bahia,1.4,5.13,7.69
Santos,Coritiba,1.32,5.51,9.81
Flamengo,Corinthians,1.32,5.67,9.82
Vasco,Internacional,3.37,3.08,2.43
Athletico-PR,Atlético-GO,1.91,3.45,4.5
Palmeiras,Fortaleza,2.2,3.21,3.74
Grêmio,São Paulo,2.28,3.37,3.36
Ceará,Fluminense,2.52,3.2,3.08
Sport,Red Bull Bragantino,4.57,3.69,1.83
Santos,Corinthians,2.42,3.2,3.25
Coritiba,Palmeiras,5.41,3.55,1.75
São Paulo,Palmeiras,2.22,3.15,3.55
Coritiba,Ceará,3.73,3.36,2.06
Fortaleza,Bahia,2.24,3.07,3.61
Corinthians,Vasco,1.85,3.74,4.41
Flamengo,Internacional,1.61,4.07,5.87
Sport,Atlético-MG,5.93,3.92,1.63
Grêmio,Athletico-PR,1.94,3.24,4.38
Santos,Fluminense,2.48,3.16,3.19
Goiás,Red Bull Bragantino,4.5,3.93,1.73
Palmeiras,Atlético-GO,1.58,4.17,6.07
Botafogo,São Paulo,8.56,5.24,1.37
Athletico-PR,Sport,1.84,3.63,4.59
Atlético-GO,Coritiba,1.62,3.97,5.94
Atlético-MG,Palmeiras,1.51,4.66,6.16
Bahia,Santos,1.54,4.14,6.72
Red Bull Bragantino,Grêmio,1.7,4.02,5
Ceará,Botafogo,1.88,3.91,4.06
Fluminense,Fortaleza,1.75,3.59,5.33
Internacional,Corinthians,1.47,4.36,7.74
São Paulo,Flamengo,4.91,4.35,1.66
Vasco,Goiás,1.85,3.7,4.43
